ue_id,cluster_id,x,y
0,0,4,3
1,0,4,6
2,0,4,6
3,0,4,7
4,0,4,8
5,0,5,4
6,0,5,5
7,0,5,5
8,0,5,5
9,0,5,6
10,0,5,6
11,0,5,6
12,0,5,7
13,0,5,7
14,0,5,7
15,0,5,8
16,0,6,3
17,0,6,4
18,0,6,4
19,0,6,5
20,0,6,5
21,0,6,5
22,0,6,6
23,0,6,6
24,0,6,6
25,0,6,6
26,0,6,7
27,0,6,7
28,0,6,7
29,0,6,8
30,0,6,8
31,0,7,3
32,0,7,4
33,0,7,5
34,0,7,5
35,0,7,5
36,0,7,6
37,0,7,6
38,0,7,6
39,0,7,7
40,0,7,7
41,0,7,7
42,0,7,8
43,0,8,4
44,0,8,5
45,0,8,6
46,0,8,6
47,0,8,7
48,0,9,3
49,0,9,4
50,0,9,6
51,0,9,7
52,0,9,8
53,1,17,1
54,1,17,4
55,1,17,4
56,1,17,5
57,1,17,6
58,1,18,2
59,1,18,3
60,1,18,3
61,1,18,3
62,1,18,4
63,1,18,4
64,1,18,4
65,1,18,5
66,1,18,5
67,1,18,5
68,1,18,6
69,1,19,1
70,1,19,2
71,1,19,2
72,1,19,3
73,1,19,3
74,1,19,3
75,1,19,4
76,1,19,4
77,1,19,4
78,1,19,4
79,1,19,5
80,1,19,5
81,1,19,5
82,1,19,6
83,1,19,6
84,1,20,1
85,1,20,2
86,1,20,3
87,1,20,3
88,1,20,3
89,1,20,4
90,1,20,4
91,1,20,4
92,1,20,5
93,1,20,5
94,1,20,5
95,1,20,6
96,1,21,2
97,1,21,3
98,1,21,4
99,1,21,4
100,1,21,5
101,1,22,1
102,1,22,2
103,1,22,4
104,1,22,5
105,1,22,6
106,2,30,3
107,2,30,6
108,2,30,6
109,2,30,7
110,2,30,8
111,2,31,4
112,2,31,5
113,2,31,5
114,2,31,5
115,2,31,6
116,2,31,6
117,2,31,6
118,2,31,7
119,2,31,7
120,2,31,7
121,2,31,8
122,2,32,3
123,2,32,4
124,2,32,4
125,2,32,5
126,2,32,5
127,2,32,5
128,2,32,6
129,2,32,6
130,2,32,6
131,2,32,6
132,2,32,7
133,2,32,7
134,2,32,7
135,2,32,8
136,2,32,8
137,2,33,3
138,2,33,4
139,2,33,5
140,2,33,5
141,2,33,5
142,2,33,6
143,2,33,6
144,2,33,6
145,2,33,7
146,2,33,7
147,2,33,7
148,2,33,8
149,2,34,4
150,2,34,5
151,2,34,6
152,2,34,6
153,2,34,7
154,2,35,3
155,2,35,4
156,2,35,6
157,2,35,7
158,2,35,8
