ue_id,cluster_id,x,y
0,0,0,1
1,0,0,4
2,0,0,4
3,0,0,5
4,0,0,6
5,3,0,9
6,3,0,12
7,3,0,12
8,3,0,13
9,3,0,14
10,0,1,2
11,0,1,3
12,0,1,3
13,0,1,3
14,0,1,4
15,0,1,4
16,0,1,4
17,0,1,5
18,0,1,5
19,0,1,5
20,0,1,6
21,3,1,10
22,3,1,11
23,3,1,11
24,3,1,11
25,3,1,12
26,3,1,12
27,3,1,12
28,3,1,13
29,3,1,13
30,3,1,13
31,3,1,14
32,0,2,1
33,0,2,2
34,0,2,2
35,0,2,3
36,0,2,3
37,0,2,3
38,0,2,4
39,0,2,4
40,0,2,4
41,0,2,4
42,0,2,5
43,0,2,5
44,0,2,5
45,0,2,6
46,0,2,6
47,3,2,9
48,3,2,10
49,3,2,10
50,3,2,11
51,3,2,11
52,3,2,11
53,3,2,12
54,3,2,12
55,3,2,12
56,3,2,12
57,3,2,13
58,3,2,13
59,3,2,13
60,3,2,14
61,3,2,14
62,0,3,1
63,0,3,2
64,0,3,3
65,0,3,3
66,0,3,3
67,0,3,4
68,0,3,4
69,0,3,4
70,0,3,5
71,0,3,5
72,0,3,5
73,0,3,6
74,3,3,9
75,3,3,10
76,3,3,11
77,3,3,11
78,3,3,11
79,3,3,12
80,3,3,12
81,3,3,12
82,3,3,13
83,3,3,13
84,3,3,13
85,3,3,14
86,0,4,2
87,0,4,3
88,0,4,4
89,0,4,4
90,0,4,5
91,3,4,10
92,3,4,11
93,3,4,12
94,3,4,12
95,3,4,13
96,0,5,1
97,0,5,2
98,0,5,4
99,0,5,5
100,0,5,6
101,3,5,9
102,3,5,10
103,3,5,12
104,3,5,13
105,3,5,14
106,1,7,0
107,1,7,3
108,1,7,3
109,1,7,4
110,1,7,5
111,4,7,8
112,4,7,11
113,4,7,11
114,4,7,12
115,4,7,13
116,1,8,1
117,1,8,2
118,1,8,2
119,1,8,2
120,1,8,3
121,1,8,3
122,1,8,3
123,1,8,4
124,1,8,4
125,1,8,4
126,1,8,5
127,4,8,9
128,4,8,10
129,4,8,10
130,4,8,10
131,4,8,11
132,4,8,11
133,4,8,11
134,4,8,12
135,4,8,12
136,4,8,12
137,4,8,13
138,1,9,0
139,1,9,1
140,1,9,1
141,1,9,2
142,1,9,2
143,1,9,2
144,1,9,3
145,1,9,3
146,1,9,3
147,1,9,3
148,1,9,4
149,1,9,4
150,1,9,4
151,1,9,5
152,1,9,5
153,4,9,8
154,4,9,9
155,4,9,9
156,4,9,10
157,4,9,10
158,4,9,10
159,4,9,11
160,4,9,11
161,4,9,11
162,4,9,11
163,4,9,12
164,4,9,12
165,4,9,12
166,4,9,13
167,4,9,13
168,1,10,0
169,1,10,1
170,1,10,2
171,1,10,2
172,1,10,2
173,1,10,3
174,1,10,3
175,1,10,3
176,1,10,4
177,1,10,4
178,1,10,4
179,1,10,5
180,4,10,8
181,4,10,9
182,4,10,10
183,4,10,10
184,4,10,10
185,4,10,11
186,4,10,11
187,4,10,11
188,4,10,12
189,4,10,12
190,4,10,12
191,4,10,13
192,1,11,1
193,1,11,2
194,1,11,3
195,1,11,3
196,1,11,4
197,4,11,9
198,4,11,10
199,4,11,11
200,4,11,11
201,4,11,12
202,1,12,0
203,1,12,1
204,1,12,3
205,1,12,4
206,1,12,5
207,4,12,8
208,4,12,9
209,4,12,11
210,4,12,12
211,4,12,13
212,2,14,1
213,2,14,4
214,2,14,4
215,2,14,5
216,2,14,6
217,5,14,9
218,5,14,12
219,5,14,12
220,5,14,13
221,5,14,14
222,2,15,2
223,2,15,3
224,2,15,3
225,2,15,3
226,2,15,4
227,2,15,4
228,2,15,4
229,2,15,5
230,2,15,5
231,2,15,5
232,2,15,6
233,5,15,10
234,5,15,11
235,5,15,11
236,5,15,11
237,5,15,12
238,5,15,12
239,5,15,12
240,5,15,13
241,5,15,13
242,5,15,13
243,5,15,14
244,2,16,1
245,2,16,2
246,2,16,2
247,2,16,3
248,2,16,3
249,2,16,3
250,2,16,4
251,2,16,4
252,2,16,4
253,2,16,4
254,2,16,5
255,2,16,5
256,2,16,5
257,2,16,6
258,2,16,6
259,5,16,9
260,5,16,10
261,5,16,10
262,5,16,11
263,5,16,11
264,5,16,11
265,5,16,12
266,5,16,12
267,5,16,12
268,5,16,12
269,5,16,13
270,5,16,13
271,5,16,13
272,5,16,14
273,5,16,14
274,2,17,1
275,2,17,2
276,2,17,3
277,2,17,3
278,2,17,3
279,2,17,4
280,2,17,4
281,2,17,4
282,2,17,5
283,2,17,5
284,2,17,5
285,2,17,6
286,5,17,9
287,5,17,10
288,5,17,11
289,5,17,11
290,5,17,11
291,5,17,12
292,5,17,12
293,5,17,12
294,5,17,13
295,5,17,13
296,5,17,13
297,5,17,14
298,2,18,2
299,2,18,3
300,2,18,4
301,2,18,4
302,2,18,5
303,5,18,10
304,5,18,11
305,5,18,12
306,5,18,12
307,5,18,13
308,2,19,1
309,2,19,2
310,2,19,4
311,2,19,5
312,2,19,6
313,5,19,9
314,5,19,10
315,5,19,12
316,5,19,13
317,5,19,14
