ue_id,cluster_id,x,y
0,0,0,0
1,0,0,1
2,0,0,2
3,0,0,3
4,0,0,4
5,0,0,5
6,0,0,6
7,0,0,7
8,0,0,8
9,0,0,9
10,0,0,10
11,0,0,11
12,0,0,12
13,0,0,13
14,0,0,14
15,0,1,0
16,0,1,1
17,0,1,2
18,0,1,3
19,0,1,4
20,0,1,5
21,0,1,6
22,0,1,7
23,0,1,13
24,0,1,14
25,0,2,0
26,0,2,1
27,0,2,2
28,0,2,3
29,0,2,4
30,0,2,5
31,0,2,6
32,0,2,7
33,0,2,13
34,0,2,14
35,0,3,0
36,0,3,1
37,0,3,2
38,0,3,4
39,0,3,5
40,0,3,6
41,0,3,7
42,0,3,8
43,0,3,9
44,0,3,10
45,0,3,11
46,0,3,12
47,0,3,13
48,0,3,14
49,0,4,0
50,0,4,1
51,0,4,2
52,0,4,3
53,0,4,4
54,0,4,5
55,0,4,6
56,0,4,7
57,0,4,8
58,0,4,9
59,0,4,10
60,0,4,11
61,0,4,12
62,0,4,13
63,0,4,14
64,0,5,0
65,0,5,1
66,0,5,2
67,0,5,3
68,0,5,4
69,0,5,5
70,0,5,6
71,0,5,7
72,0,5,8
73,0,5,9
74,0,5,10
75,0,5,11
76,0,5,12
77,0,5,13
78,0,5,14
79,0,6,0
80,0,6,1
81,0,6,2
82,0,6,3
83,0,6,4
84,0,6,5
85,0,6,6
86,0,6,7
87,0,6,8
88,0,6,9
89,0,6,10
90,0,6,11
91,0,6,12
92,0,6,13
93,0,6,14
94,0,7,0
95,0,7,1
96,0,7,2
97,0,7,3
98,0,7,4
99,0,7,5
100,0,7,6
101,0,7,7
102,0,7,8
103,0,7,9
104,0,7,10
105,0,7,11
106,0,7,12
107,0,7,13
108,0,7,14
109,0,8,0
110,0,8,1
111,0,8,2
112,0,8,3
113,0,8,4
114,0,8,5
115,0,8,6
116,0,8,7
117,0,8,8
118,0,8,9
119,0,8,10
120,0,8,11
121,0,8,12
122,0,8,13
123,0,8,14
124,0,9,0
125,0,9,1
126,0,9,2
127,0,9,3
128,0,9,4
129,0,9,5
130,0,9,6
131,0,9,7
132,0,9,8
133,0,9,9
134,0,9,10
135,0,9,11
136,0,9,12
137,0,9,13
138,0,9,14
139,0,10,0
140,0,10,1
141,0,10,2
142,0,10,3
143,0,10,4
144,0,10,5
145,0,10,6
146,0,10,7
147,0,10,8
148,0,10,9
149,0,10,10
150,0,10,11
151,0,10,12
152,0,10,13
153,0,10,14
154,0,11,0
155,0,11,1
156,0,11,2
157,0,11,3
158,0,11,4
159,0,11,5
160,0,11,6
161,0,11,7
162,0,11,8
163,0,11,9
164,0,11,10
165,0,11,11
166,0,11,12
167,0,11,13
168,0,11,14
169,0,12,0
170,0,12,1
171,0,12,2
172,0,12,3
173,0,12,4
174,0,12,5
175,0,12,6
176,0,12,7
177,0,12,8
178,0,12,9
179,0,12,10
180,0,12,11
181,0,12,12
182,0,12,13
183,0,12,14
184,0,13,0
185,0,13,1
186,0,13,2
187,0,13,3
188,0,13,4
189,0,13,5
190,0,13,6
191,0,13,7
192,0,13,8
193,0,13,9
194,0,13,10
195,0,13,11
196,0,13,12
197,0,13,13
198,0,13,14
199,0,14,0
200,0,14,1
201,0,14,2
202,0,14,3
203,0,14,4
204,0,14,5
205,0,14,6
206,0,14,7
207,0,14,8
208,0,14,9
209,0,14,10
210,0,14,11
211,0,14,12
212,0,14,13
213,0,14,14
