ue_id,cluster_id,x,y
0,0,4,3
1,0,4,6
2,0,4,6
3,0,4,7
4,0,4,8
5,0,5,4
6,0,5,5
7,0,5,5
8,0,5,5
9,0,5,6
10,0,5,6
11,0,5,6
12,0,5,7
13,0,5,7
14,0,5,7
15,0,5,8
16,0,6,3
17,0,6,4
18,0,6,4
19,0,6,5
20,0,6,5
21,0,6,5
22,0,6,6
23,0,6,6
24,0,6,6
25,0,6,6
26,0,6,7
27,0,6,7
28,0,6,7
29,0,6,8
30,0,6,8
31,0,7,3
32,0,7,4
33,0,7,5
34,0,7,5
35,0,7,5
36,0,7,6
37,0,7,6
38,0,7,6
39,0,7,7
40,0,7,7
41,0,7,7
42,0,7,8
43,3,7,18
44,3,7,21
45,3,7,21
46,3,7,22
47,3,7,23
48,0,8,4
49,0,8,5
50,0,8,6
51,0,8,6
52,0,8,7
53,3,8,19
54,3,8,20
55,3,8,20
56,3,8,20
57,3,8,21
58,3,8,21
59,3,8,21
60,3,8,22
61,3,8,22
62,3,8,22
63,3,8,23
64,0,9,3
65,0,9,4
66,0,9,6
67,0,9,7
68,0,9,8
69,3,9,18
70,3,9,19
71,3,9,19
72,3,9,20
73,3,9,20
74,3,9,20
75,3,9,21
76,3,9,21
77,3,9,21
78,3,9,21
79,3,9,22
80,3,9,22
81,3,9,22
82,3,9,23
83,3,9,23
84,3,10,18
85,3,10,19
86,3,10,20
87,3,10,20
88,3,10,20
89,3,10,21
90,3,10,21
91,3,10,21
92,3,10,22
93,3,10,22
94,3,10,22
95,3,10,23
96,3,11,19
97,3,11,20
98,3,11,21
99,3,11,21
100,3,11,22
101,3,12,18
102,3,12,19
103,3,12,21
104,3,12,22
105,3,12,23
106,1,17,1
107,1,17,4
108,1,17,4
109,1,17,5
110,1,17,6
111,1,18,2
112,1,18,3
113,1,18,3
114,1,18,3
115,1,18,4
116,1,18,4
117,1,18,4
118,1,18,5
119,1,18,5
120,1,18,5
121,1,18,6
122,1,19,1
123,1,19,2
124,1,19,2
125,1,19,3
126,1,19,3
127,1,19,3
128,1,19,4
129,1,19,4
130,1,19,4
131,1,19,4
132,1,19,5
133,1,19,5
134,1,19,5
135,1,19,6
136,1,19,6
137,1,20,1
138,1,20,2
139,1,20,3
140,1,20,3
141,1,20,3
142,1,20,4
143,1,20,4
144,1,20,4
145,1,20,5
146,1,20,5
147,1,20,5
148,1,20,6
149,4,20,21
150,4,20,24
151,4,20,24
152,4,20,25
153,4,20,26
154,1,21,2
155,1,21,3
156,1,21,4
157,1,21,4
158,1,21,5
159,4,21,22
160,4,21,23
161,4,21,23
162,4,21,23
163,4,21,24
164,4,21,24
165,4,21,24
166,4,21,25
167,4,21,25
168,4,21,25
169,4,21,26
170,1,22,1
171,1,22,2
172,1,22,4
173,1,22,5
174,1,22,6
175,4,22,21
176,4,22,22
177,4,22,22
178,4,22,23
179,4,22,23
180,4,22,23
181,4,22,24
182,4,22,24
183,4,22,24
184,4,22,24
185,4,22,25
186,4,22,25
187,4,22,25
188,4,22,26
189,4,22,26
190,4,23,21
191,4,23,22
192,4,23,23
193,4,23,23
194,4,23,23
195,4,23,24
196,4,23,24
197,4,23,24
198,4,23,25
199,4,23,25
200,4,23,25
201,4,23,26
202,4,24,22
203,4,24,23
204,4,24,24
205,4,24,24
206,4,24,25
207,4,25,21
208,4,25,22
209,4,25,24
210,4,25,25
211,4,25,26
212,2,30,3
213,2,30,6
214,2,30,6
215,2,30,7
216,2,30,8
217,2,31,4
218,2,31,5
219,2,31,5
220,2,31,5
221,2,31,6
222,2,31,6
223,2,31,6
224,2,31,7
225,2,31,7
226,2,31,7
227,2,31,8
228,2,32,3
229,2,32,4
230,2,32,4
231,2,32,5
232,2,32,5
233,2,32,5
234,2,32,6
235,2,32,6
236,2,32,6
237,2,32,6
238,2,32,7
239,2,32,7
240,2,32,7
241,2,32,8
242,2,32,8
243,5,32,20
244,5,32,23
245,5,32,23
246,5,32,24
247,5,32,25
248,2,33,3
249,2,33,4
250,2,33,5
251,2,33,5
252,2,33,5
253,2,33,6
254,2,33,6
255,2,33,6
256,2,33,7
257,2,33,7
258,2,33,7
259,2,33,8
260,5,33,21
261,5,33,22
262,5,33,22
263,5,33,22
264,5,33,23
265,5,33,23
266,5,33,23
267,5,33,24
268,5,33,24
269,5,33,24
270,5,33,25
271,2,34,4
272,2,34,5
273,2,34,6
274,2,34,6
275,2,34,7
276,5,34,20
277,5,34,21
278,5,34,21
279,5,34,22
280,5,34,22
281,5,34,22
282,5,34,23
283,5,34,23
284,5,34,23
285,5,34,23
286,5,34,24
287,5,34,24
288,5,34,24
289,5,34,25
290,5,34,25
291,2,35,3
292,2,35,4
293,2,35,6
294,2,35,7
295,2,35,8
296,5,35,20
297,5,35,21
298,5,35,22
299,5,35,22
300,5,35,22
301,5,35,23
302,5,35,23
303,5,35,23
304,5,35,24
305,5,35,24
306,5,35,24
307,5,35,25
308,5,36,21
309,5,36,22
310,5,36,23
311,5,36,23
312,5,36,24
313,5,37,20
314,5,37,21
315,5,37,23
316,5,37,24
317,5,37,25
