ue_id,cluster_id,x,y
0,0,6,8
1,0,6,11
2,0,6,13
3,0,6,14
4,0,7,7
5,0,7,10
6,0,7,10
7,0,7,11
8,0,7,12
9,0,7,13
10,0,8,6
11,0,8,8
12,0,8,9
13,0,8,9
14,0,8,9
15,0,8,10
16,0,8,10
17,0,8,10
18,0,8,11
19,0,8,11
20,0,8,11
21,0,8,12
22,0,9,7
23,0,9,8
24,0,9,8
25,0,9,9
26,0,9,9
27,0,9,9
28,0,9,10
29,0,9,10
30,0,9,10
31,0,9,10
32,0,9,11
33,0,9,11
34,0,9,11
35,0,9,12
36,0,9,12
37,0,9,13
38,0,9,14
39,0,10,7
40,0,10,8
41,0,10,9
42,0,10,9
43,0,10,9
44,0,10,10
45,0,10,10
46,0,10,10
47,0,10,11
48,0,10,11
49,0,10,11
50,0,10,12
51,0,11,6
52,0,11,8
53,0,11,9
54,0,11,10
55,0,11,10
56,0,11,11
57,0,11,13
58,0,12,7
59,0,12,8
60,0,12,10
61,0,12,11
62,0,12,12
63,0,12,13
64,0,13,6
65,0,13,8
66,0,13,10
67,0,13,11
68,0,13,12
69,0,14,7
70,0,14,9
71,0,14,11
