ue_id,cluster_id,x,y
0,0,2,2
1,0,2,3
2,0,2,4
3,0,2,9
4,0,2,10
5,0,2,11
6,0,3,2
7,0,3,3
8,0,3,3
9,0,3,4
10,0,3,9
11,0,3,10
12,0,3,10
13,0,3,11
14,0,4,2
15,0,4,3
16,0,4,4
17,0,4,9
18,0,4,10
19,0,4,11
20,0,6,6
21,0,6,6
22,0,6,7
23,0,6,7
24,0,6,8
25,0,6,8
26,0,6,9
27,0,6,9
28,0,7,6
29,0,7,6
30,0,7,7
31,0,7,7
32,0,7,7
33,0,7,8
34,0,7,8
35,0,7,8
36,0,7,9
37,0,7,9
38,0,8,6
39,0,8,6
40,0,8,7
41,0,8,7
42,0,8,7
43,0,8,8
44,0,8,8
45,0,8,8
46,0,8,9
47,0,8,9
48,0,9,2
49,0,9,3
50,0,9,4
51,0,9,6
52,0,9,6
53,0,9,7
54,0,9,7
55,0,9,8
56,0,9,8
57,0,9,9
58,0,9,9
59,0,10,2
60,0,10,3
61,0,10,3
62,0,10,4
63,0,11,2
64,0,11,3
65,0,11,4
