ue_id,cluster_id,x,y
0,1,5,6
1,1,5,6
2,1,5,7
3,1,5,7
4,1,5,8
5,1,5,8
6,1,5,8
7,1,5,9
8,1,5,9
9,0,6,1
10,0,6,1
11,0,6,2
12,0,6,2
13,0,6,3
14,0,6,3
15,1,6,6
16,1,6,6
17,1,6,7
18,1,6,7
19,1,6,7
20,1,6,8
21,1,6,8
22,1,6,8
23,1,6,8
24,1,6,9
25,1,6,9
26,1,6,9
27,0,7,1
28,0,7,1
29,0,7,2
30,0,7,2
31,0,7,2
32,0,7,3
33,0,7,3
34,1,7,6
35,1,7,6
36,1,7,7
37,1,7,7
38,1,7,7
39,1,7,8
40,1,7,8
41,1,7,8
42,1,7,9
43,1,7,9
44,1,7,9
45,0,8,1
46,0,8,1
47,0,8,2
48,0,8,2
49,0,8,3
50,0,8,3
51,1,8,6
52,1,8,6
53,1,8,7
54,1,8,7
55,1,8,8
56,1,8,8
57,1,8,9
58,1,8,9
59,3,10,11
60,3,10,11
61,3,10,12
62,3,10,12
63,3,10,13
64,3,10,13
65,3,11,11
66,3,11,11
67,3,11,12
68,3,11,12
69,3,11,12
70,3,11,13
71,3,11,13
72,2,12,5
73,2,12,5
74,2,12,6
75,2,12,6
76,2,12,7
77,2,12,7
78,3,12,11
79,3,12,11
80,3,12,12
81,3,12,12
82,3,12,13
83,3,12,13
84,2,13,5
85,2,13,5
86,2,13,6
87,2,13,6
88,2,13,6
89,2,13,7
90,2,13,7
91,2,14,5
92,2,14,5
93,2,14,6
94,2,14,6
95,2,14,7
96,2,14,7
